actor 	 actress
actors	actresses
airman 	 airwoman
airmen 	 airwomen
boy	girl
boys 	 girls
brother 	 sister
brothers 	 sisters
businessman 	 businesswoman
businessmen	businesswomen
chairman 	 chairwoman
chairmen	chairwomen
dad 	 mom
dads	moms
daddy 	 mommy
daddies	mommies
dude 	 chick
dudes 	 chicks
father 	 mother
fathers 	 mothers
gentleman	lady
gentlemen 	 ladies
grandson 	 granddaughter
grandsons	granddaughters
groom 	 bride
grooms	brides
guy 	 girl
guys 	 girls
he 	 she
him 	 her
himself 	 herself
his 	 her
husband 	 wife
husbands	wives
king 	 queen
kings	queens
lord 	 lady
lords	ladies
male 	 female
males	females
man 	 woman
men 	 women
mr. 	 mrs.
mr.      ms.
mr 	 mrs
mr 	 ms
policeman 	 policewoman
prince 	 princess
princes	princesses
sir 	 ma'am
sir      miss
son 	 daughter
sons 	 daughters
spokesman 	 spokeswoman
spokesmen	spokeswomen
uncle 	 aunt
uncles	aunts
